,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
198,91c2fbc594469839ad062e7cf359f2451fe8a14f041d8afe515ceab800c35133,file,0,0,0,0,undetected,2,No,,,,0,0
199,2024aimp.info,domain,0,0,0,0,undetected,10,No,,,,0,0
200,lexisnexis2024.com,domain,0,0,0,0,undetected,2,No,,,,0,0
201,8684e74d35baab30e8f8af7db486c2a339d3063feb2074109b8c96c1fea8313e,file,0,0,0,0,undetected,3,No,,,,0,0
202,9112b8623844774b056c842da3417f75c86bff115d5d15db2d6226c6ffd98895,file,0,0,0,0,undetected,3,No,,,,0,0
203,4665c7b360b18496be00246eb3bc886e83b22028e95156101bf73bf0c48dddd3,file,0,0,0,0,undetected,2,No,,,,0,0
204,85.209.134.137,ip_address,0,0,0,0,undetected,4,No,United States,New Jersey,Secaucus,40.7895,-74.0565
205,7zip-org.live,domain,0,0,0,0,undetected,2,No,,,,0,0
206,103.113.70.158,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
207,056451b28c4bfe6bf1536c1d67b33f312a06c656cd3c633f40cc5f5b85c6528b,file,0,0,0,0,undetected,2,No,,,,0,0
208,36b79a3eca6d0ee23daf10c436f4ec5c8c279fbfd79c965c7e37515c148c3c5b,file,0,0,0,0,undetected,2,No,,,,0,0
209,sevenzip.today,domain,0,0,0,0,undetected,2,No,,,,0,0
210,91.200.14.23,ip_address,0,0,0,0,undetected,2,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
211,gl-meet2024.com,domain,0,0,0,0,undetected,9,No,,,,0,0
212,37990aecf5fecc61e4b3a3f5eaec14c8ed03cb20681dc53c367d5541600f9312,file,0,0,0,0,undetected,2,No,,,,0,0
213,concuur.net,domain,0,0,0,0,undetected,2,No,,,,0,0
214,sevenzip.shop,domain,0,0,0,0,undetected,2,No,,,,0,0
215,7zip10-2024.top,domain,0,0,0,0,undetected,2,No,,,,0,0
216,newsconcur.one,domain,0,0,0,0,undetected,2,No,,,,0,0
217,206.206.123.97,ip_address,0,0,0,0,undetected,2,No,United States,Washington,Seattle,47.6109,-122.3303
218,af3530b841049f90b9f5c818910f1877ef8f89bea0454fe72ada397e9bef1565,file,0,0,0,0,undetected,2,No,,,,0,0
219,103.35.188.97,ip_address,0,0,0,0,undetected,3,No,United States,New Jersey,Secaucus,40.7876,-74.06
220,89.105.198.190,ip_address,0,0,0,0,undetected,7,No,The Netherlands,Overijssel,Enschede,52.2249,6.852
221,138.124.184.214,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
222,a67d73996a5479312f4a4ea4fccdde293695359aa6b6da06c01248066a7131f9,file,0,0,0,0,undetected,2,No,,,,0,0
223,asana.tel,domain,0,0,0,0,undetected,10,No,,,,0,0
224,f4052e52fed661fd05ea39a5187781ec6c234c5d7ea4ab91cd77f2e1d2c709b5,file,0,0,0,0,undetected,2,No,,,,0,0
225,7zip2024.info,domain,0,0,0,0,undetected,10,No,,,,0,0
226,seven-zip.click,domain,0,0,0,0,undetected,2,No,,,,0,0
227,9a4e39fcb4033a9c849890085b67faea7265eaf56744e77aa8180b1834b7e14a,file,0,0,0,0,undetected,2,No,,,,0,0
228,7zip-2024.cfd,domain,0,0,0,0,undetected,2,No,,,,0,0
229,77.90.38.106,ip_address,0,0,0,0,undetected,2,No,United States,New York,New York,40.7128,-74.006
230,f10bd5443148d47fbf7c6a6998651eb9bda4c7c9213f9e5a65a76e98637cb748,file,0,0,0,0,undetected,2,No,,,,0,0
231,concur.skin,domain,0,0,0,0,undetected,10,No,,,,0,0
232,wsj.wales,domain,0,0,0,0,undetected,1,No,,,,0,0
233,bdd89826ab8d3e3c03833b1ea8e4b0a34c80f13bfa5882e5b82f896cec41d141,file,0,0,0,0,undetected,3,No,,,,0,0
234,a98d6df438ba2615107642c7c6da104de1c9aefdb0f184aead763ae3057c11e9,file,0,0,0,0,undetected,2,No,,,,0,0
235,abd4263c97ab33b22f67e581ebb09ec7b98e4084dd32a7eca6502d3737715769,file,0,0,0,0,undetected,2,No,,,,0,0
